timestamp,codec,model,p_mask,K,seeds,BPC_entropy_mean,BPC_entropy_sd,BPC_ac_mean,BPC_ac_sd,CharFid_mean,CharFid_sd,ChrF_mean,ChrF_sd,BERTScore_mean,BERTScore_sd
2025-10-21T16:52:35.472743Z,epc,bert-base-cased,0.2,4,5,2.7454100962364048,0.0,2.7478484519394097,0.0,0.9822527644053751,0.0,0.9998707714825825,0.0,0.986270010471344,0.0
2025-10-21T16:52:35.472852Z,epc,bert-base-cased,0.2,16,5,2.745217691297664,0.0,2.7473535222280434,0.0,0.9823067308966562,0.0,0.9998643898601429,0.0,0.9863002300262451,0.0
2025-10-21T16:52:35.472948Z,epc,bert-base-cased,0.2,64,5,2.745456727827267,0.0,2.7472493677159995,0.0,0.9819334368302746,0.0,0.9998554058811356,0.0,0.9862317442893982,0.0
2025-10-21T16:52:35.473041Z,epc,bert-base-cased,0.2,128,5,2.745593355549759,0.0,2.7472133443509317,0.0,0.9818906109832287,0.0,0.9998524921440645,1.2412670766236366e-16,0.9862223267555237,0.0
2025-10-21T16:52:35.473135Z,epc,bert-base-cased,0.4,4,5,2.1909862577119044,0.0,2.1943506087903075,0.0,0.9823059146816486,0.0,0.9998719015424197,0.0,0.9863008260726929,0.0
2025-10-21T16:52:35.473229Z,epc,bert-base-cased,0.4,16,5,2.189726043797446,0.0,2.1923246860635577,0.0,0.9823062327194038,0.0,0.9998604979330296,1.2412670766236366e-16,0.9862999320030212,0.0
2025-10-21T16:52:35.473322Z,epc,bert-base-cased,0.4,64,5,2.1898602888911403,0.0,2.1915008473667896,0.0,0.9819844683124417,1.2412670766236366e-16,0.9998432345791745,1.2412670766236366e-16,0.9862625002861023,0.0
2025-10-21T16:52:35.473415Z,epc,bert-base-cased,0.4,128,5,2.1902003026252004,0.0,2.1912400695283636,0.0,0.981750066486895,0.0,0.9998323318518445,0.0,0.9862247705459595,0.0
2025-10-21T16:52:35.473521Z,epc,bert-base-cased,0.6,4,5,1.575714041871909,0.0,1.5821942082341502,0.0,0.9821684749234268,0.0,0.999785863360778,1.2412670766236366e-16,0.9862808585166931,0.0
2025-10-21T16:52:35.473615Z,epc,bert-base-cased,0.6,16,5,1.5760162616184272,0.0,1.5788518664491613,0.0,0.9819242620783285,0.0,0.9997659934926568,0.0,0.9862078428268433,0.0
2025-10-21T16:52:35.473708Z,epc,bert-base-cased,0.6,64,5,1.5783667314185825,0.0,1.5769927475650085,0.0,0.981381966580738,0.0,0.9997223513670178,0.0,0.986187756061554,0.0
2025-10-21T16:52:35.473951Z,epc,bert-base-cased,0.6,128,5,1.57991958573047,0.0,1.5762151127495225,0.0,0.9810756586260974,0.0,0.9996880664492128,0.0,0.9861509799957275,0.0
2025-10-21T16:52:35.474044Z,epc,bert-base-cased,0.8,4,5,1.0276037292983444,0.0,1.0415036710868577,0.0,0.9817304947955743,0.0,0.9989549153764712,0.0,0.9861544966697693,0.0
2025-10-21T16:52:35.474137Z,epc,bert-base-cased,0.8,16,5,1.0354563333497742,0.0,1.013901159161949,0.0,0.9812729079735473,1.2412670766236366e-16,0.9984907999811254,0.0,0.9860618710517883,0.0
2025-10-21T16:52:35.474230Z,epc,bert-base-cased,0.8,64,5,1.0699976648274494,0.0,1.007774837750522,0.0,0.9800037808298863,1.2412670766236366e-16,0.9982538534788773,1.2412670766236366e-16,0.9858891367912292,0.0
2025-10-21T16:52:35.474322Z,epc,bert-base-cased,0.8,128,5,1.0891420233303586,0.0,1.006108365557819,0.0,0.9788723446381022,1.2412670766236366e-16,0.9981257883233411,1.2412670766236366e-16,0.9857069253921509,0.0
